name,address,headyDay,lawsonsDay,headyCases,lawsonsCases,hoursOpen,type,heady,lawsons,lon,lat
Woodstock Hops N' Barley,,,Monday,FALSE,,,store,FALSE,TRUE,-72.504832,43.631371
South Royalton Market,,,Monday,FALSE,,,store,FALSE,TRUE,-72.522109,43.820258
Paradise Deli & Market,,,Thursday,FALSE,,,store,FALSE,TRUE,-72.884556,44.140018
Beverage Warehouse,,,Friday,FALSE,,,store,FALSE,TRUE,-73.181831,44.492283
1/2 Lounge,"136 1/2 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.212337,44.476831
10 Railroad St,"10 Railroad St, Morrisville, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.5981838,44.563984
2 Loco Guys,"163 N Main St, Barre, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.5029476,44.198582
802 Bws,"1127 North Ave, Burlington, VT",Thursday,,FALSE,,,store,TRUE,FALSE,-73.2449051,44.5058527
A Single Pebble,"133 Bank St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2145792,44.4779277
Ake's Den,"5351 Main St, Waitsfield, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.8391937,44.1820587
Ake's Place,"134 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2123019,44.4767
Alpine Mart,"968 Mountain Rd, Stowe, VT",Friday,,FALSE,,,store,TRUE,FALSE,-72.697311,44.473896
Arvad's Grill & Pub,"3 S Main St, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.75645,44.3374986
Bee's Knees,"82 Lower Main St, Morrisville, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.5999319,44.5617595
Beer Palate,"188 Boxwood St, Williston, VT",Wednesday,Wednesday,FALSE,,,store,TRUE,TRUE,-73.1095385,44.4460301
Bender's Burritos,"1880 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.714417,44.474682
Bessery's Quality Market,"1398 North Ave, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.251948,44.512455
Best Western,"45 Blush Hill Rd, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.748225,44.345286
Beverage Baron,"411 N Main St, Barre, VT",Monday,,FALSE,,,store,TRUE,FALSE,-72.5085864,44.2038452
Big Picture Theater,"48 Carroll Rd, Waitsfield, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.832872,44.188415
Bistro At Ten Acres,"14 Barrows Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.727036,44.471791
Blackback Pub,"1 Stowe St, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.7561716,44.3377521
Blue Donkey,"1669 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.710526,44.47309
Blue Moon Cafe,"35 School St, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.684557,44.4647576
Blue Stone Pizza,"15 Stowe St, Waterbury, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-72.7559502,44.3380014
Bluebird Bbq,"317 Riverside Ave, Winooski, VT",Wednesday,,FALSE,,,eatery,TRUE,FALSE,-73.195363,44.487894
Bluebird Tavern,"86 St Paul St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2139007,44.477565
Breakwater Cafe,"1 Kings Lane, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2202692,44.4744361
Bridge St Butcher,"40 Bridge St, Waitsfield, VT",Tuesday,Thursday,FALSE,,,store,TRUE,TRUE,-72.8239059,44.189633
Bueno Y Sano,"213 College St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.211325,44.4770007
Buono Appetito,"3182 Shelburne Rd, Shelburne, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-73.2159167,44.4095199
Burlington Bay Market,"125 Battery St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.2191351,44.4765482
Burt's Pub,"135 Luce Hill Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.719165,44.47372
Cactus Cafe,"2160 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.718777,44.476335
Castlerock Pub,"102 Forest Dr, Warren, VT",Tuesday,,FALSE,,,eatery,TRUE,FALSE,-72.8933338,44.1365488
Charlie's Rotisserie & Grill,"1160 Williston Rd, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.1775695,44.4687455
Cheese Trader,"1186 Williston Rd, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.1762906,44.4687845
Church & Main,"156 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.21229,44.476104
Church St Tavern,"103 Church St, Burlington, VT",Thursday,,FALSE,,,eatery,TRUE,FALSE,-73.212794,44.477467
City Market,"82 S Winooski Ave, Burlington, VT",Tuesday,Wednesday,FALSE,,,store,TRUE,TRUE,-73.21023,44.4781819
Cold Hollow Cider Mill,"3600 Waterbury-Stowe Rd, Waterbury, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.720178,44.381268
Cork Wine Bar,"1 Stowe St, Waterbury, VT",Wednesday,Tuesday,FALSE,,,eatery,TRUE,TRUE,-72.7561716,44.3377521
Cornerstone Pub & Kitchen,"47 N Main St, Barre, VT",Monday,,FALSE,,,eatery,TRUE,FALSE,-72.501503,44.197575
Craft Beer Cellar,"3 Elm St, Waterbury, VT",Wednesday,Tuesday,FALSE,,,store,TRUE,TRUE,-72.7565152,44.3372583
Crop Bistro & Brewery,"1859 Mountain Rd, Stowe, VT",Friday,,FALSE,,,eatery,TRUE,FALSE,-72.713977,44.473824
