Name|Address|Delivery Date|Cases Available|Hours Open|Type|Lat|Lng
1/2 Lounge|136 1/2 Church St, Burlington, VT|Thursday|False||eatery|44.476831|-73.212337
10 Railroad St|10 Railroad St, Morrisville, VT|Friday|False||eatery|44.563984|-72.5981838
2 Loco Guys|163 N Main St, Barre, VT|Monday|False||eatery|44.198582|-72.5029476
802 Bws|1127 North Ave, Burlington, VT|Thursday|False||store|44.5058527|-73.2449051
A Single Pebble|133 Bank St, Burlington, VT|Thursday|False||eatery|44.4779277|-73.2145792
Ake'S Den|5351 Main St, Waitsfield, VT|Tuesday|False||eatery|44.1820587|-72.8391937
Ake'S Place|134 Church St, Burlington, VT|Thursday|False||eatery|44.4767|-73.2123019
Alpine Mart|968 Mountain Rd, Stowe, VT|Friday|False||store|44.473896|-72.697311
Arvad'S Grill & Pub|3 S Main St, Waterbury, VT|Wednesday|False||eatery|44.3374986|-72.75645
Bee'S Knees|82 Lower Main St, Morrisville, VT|Friday|False||eatery|44.5617595|-72.5999319
Beer Palate|188 Boxwood St, Williston, VT|Wednesday|False||store|44.4460301|-73.1095385
Bender'S Burritos|1880 Mountain Rd, Stowe, VT|Friday|False||eatery|44.474682|-72.714417
Bessery'S Quality Market|1398 North Ave, Burlington, VT|Thursday|False||eatery|44.512455|-73.251948
Best Western|45 Blush Hill Rd, Waterbury, VT|Wednesday|False||eatery|44.345286|-72.748225
Beverage Baron|411 N Main St, Barre, VT|Monday|False||store|44.2038452|-72.5085864
Big Picture Theater|48 Carroll Rd, Waitsfield, VT|Tuesday|False||eatery|44.188415|-72.832872
Bistro At Ten Acres|14 Barrows Rd, Stowe, VT|Friday|False||eatery|44.471791|-72.727036
Blackback Pub|1 Stowe St, Waterbury, VT|Wednesday|False||eatery|44.3377521|-72.7561716
Blue Donkey|1669 Mountain Rd, Stowe, VT|Friday|False||eatery|44.47309|-72.710526
Blue Moon Cafe|35 School St, Stowe, VT|Friday|False||eatery|44.4647576|-72.684557
Blue Stone Pizza|15 Stowe St, Waterbury, VT|Wednesday|False||eatery|44.3380014|-72.7559502
Bluebird Bbq|317 Riverside Ave, Winooski, VT|Wednesday|False||eatery|44.487894|-73.195363
Bluebird Tavern|86 St Paul St, Burlington, VT|Thursday|False||eatery|44.477565|-73.2139007
Breakwater Cafe|1 Kings Lane, Burlington, VT|Thursday|False||eatery|44.4744361|-73.2202692
Bridge St Butcher|40 Bridge St, Waitsfield, VT|Tuesday|False||store|44.189633|-72.8239059
Bueno Y Sano|213 College St, Burlington, VT|Thursday|False||eatery|44.4770007|-73.211325
Buono Appetito|3182 Shelburne Rd, Shelburne, VT|Monday|False||eatery|44.4095199|-73.2159167
Burlington Bay Market|125 Battery St, Burlington, VT|Thursday|False||eatery|44.4765482|-73.2191351
Burt'S Pub|135 Luce Hill Rd, Stowe, VT|Friday|False||eatery|44.47372|-72.719165
Cactus Cafe|2160 Mountain Rd, Stowe, VT|Friday|False||eatery|44.476335|-72.718777
Castlerock Pub|102 Forest Dr, Warren, VT|Tuesday|False||eatery|44.1365488|-72.8933338
Charlie'S Rotisserie & Grill|1160 Williston Rd, Burlington, VT|Thursday|False||eatery|44.4687455|-73.1775695
Cheese Trader|1186 Williston Rd, Burlington, VT|Thursday|False||eatery|44.4687845|-73.1762906
Church & Main|156 Church St, Burlington, VT|Thursday|False||eatery|44.476104|-73.21229
Church St Tavern|103 Church St, Burlington, VT|Thursday|False||eatery|44.477467|-73.212794
City Market|82 S Winooski Ave, Burlington, VT|Tuesday|False||store|44.4781819|-73.21023
Cold Hollow Cider Mill|3600 Waterbury-Stowe Rd, Waterbury, VT|Friday|False||eatery|44.381268|-72.720178
Cork Wine Bar|1 Stowe St, Waterbury, VT|Wednesday|False||eatery|44.3377521|-72.7561716
Cornerstone Pub & Kitchen|47 N Main St, Barre, VT|Monday|False||eatery|44.197575|-72.501503
